name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bifidobacterium longum	216816	S	2759192	-2759192	0	0.00000
Bifidobacterium bifidum	1681	S	680815	-680815	0	0.00000
Bifidobacterium dentium	1689	S	40818	-40818	0	0.00000
Bifidobacterium breve	1685	S	35561	-35561	0	0.00000
Bifidobacterium catenulatum	1686	S	9836	-9836	0	0.00000
Bifidobacterium adolescentis	1680	S	2408	-2408	0	0.00000
Bifidobacterium scardovii	158787	S	1967	-1967	0	0.00000
Bifidobacterium pseudocatenulatum	28026	S	1448	-1448	0	0.00000
Bifidobacterium angulatum	1683	S	932	-932	0	0.00000
Bifidobacterium pullorum	78448	S	698	-698	0	0.00000
Bifidobacterium pseudolongum	1694	S	381	-381	0	0.00000
Bifidobacterium animalis	28025	S	360	-360	0	0.00000
Bifidobacterium lemurum	1603886	S	347	-347	0	0.00000
Bifidobacterium subtile	77635	S	227	-227	0	0.00000
Bifidobacterium thermophilum	33905	S	204	-204	0	0.00000
Bifidobacterium eulemuris	1765219	S	189	-189	0	0.00000
Bifidobacterium choerinum	35760	S	145	-145	0	0.00000
Bifidobacterium actinocoloniiforme	638619	S	93	-93	0	0.00000
Bifidobacterium asteroides	1684	S	66	-66	0	0.00000
Gardnerella vaginalis	2702	S	74	-74	0	0.00000
Parascardovia denticolens	78258	S	17	-17	0	0.00000
Scardovia inopinata	78259	S	14	-14	0	0.00000
Curtobacterium sp. Csp2	2495430	S	7052	-7052	0	0.00000
Microbacterium sp. RG1	2489212	S	63	-63	0	0.00000
Microbacterium sp. 1S1	2606451	S	11	-11	0	0.00000
Humibacter sp. WJ7-1	2599293	S	12	-12	0	0.00000
Arthrobacter sp. PAMC25564	2565366	S	30	-30	0	0.00000
Arthrobacter sp. YN	2020486	S	16	-16	0	0.00000
Arthrobacter citreus	1670	S	20	-20	0	0.00000
Rothia mucilaginosa	43675	S	79	-79	0	0.00000
Rothia dentocariosa	2047	S	12	-12	0	0.00000
Rothia aeria	172042	S	12	-12	0	0.00000
Glutamicibacter sp. ZJUTW	1155384	S	10	-10	0	0.00000
Dermabacter jinjuensis	1667168	S	80	-80	0	0.00000
Dermabacter vaginalis	1630135	S	30	-30	0	0.00000
Cellulomonas shaoxiangyii	2566013	S	13	-13	0	0.00000
Actinotalea sp. JY-7876	2758442	S	11	-11	0	0.00000
Brevibacterium linens	1703	S	11	-11	0	0.00000
Ruania sp. HY168	2603206	S	13	-13	0	0.00000
Luteipulveratus mongoliensis	571913	S	10	-10	0	0.00000
Streptomyces sp. ICC1	2099583	S	1739	-1739	0	0.00000
Streptomyces sp. ICC4	2099584	S	488	-488	0	0.00000
Streptomyces sp. Z423-1	2730915	S	12	-12	0	0.00000
Streptomyces venezuelae	54571	S	24	-24	0	0.00000
Streptomyces bingchenggensis	379067	S	18	-18	0	0.00000
Streptomyces tendae	1932	S	11	-11	0	0.00000
Streptomyces lunaelactis	1535768	S	10	-10	0	0.00000
