name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides caccae	47678	S	2964834	-2964834	0	0.00000
Bacteroides sp. CBA7301	2715212	S	29934	-29934	0	0.00000
Bacteroides sp. HF-5287	2650157	S	27572	-27572	0	0.00000
Bacteroides sp. A1C1	2528203	S	9694	-9694	0	0.00000
Bacteroides sp. M10	2763022	S	6684	-6684	0	0.00000
Bacteroides sp. CACC 737	2755405	S	5909	-5909	0	0.00000
Bacteroides sp. HF-5141	2650158	S	2338	-2338	0	0.00000
Bacteroides sp. HF-162	2785531	S	1702	-1702	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	1099	-1099	0	0.00000
Bacteroides thetaiotaomicron	818	S	41000	-41000	0	0.00000
Bacteroides fragilis	817	S	37060	-37060	0	0.00000
Bacteroides ovatus	28116	S	36860	-36860	0	0.00000
Bacteroides caecimuris	1796613	S	34606	-34606	0	0.00000
Bacteroides xylanisolvens	371601	S	19100	-19100	0	0.00000
Bacteroides uniformis	820	S	1820	-1820	0	0.00000
Bacteroides cellulosilyticus	246787	S	1000	-1000	0	0.00000
Bacteroides intestinalis	329854	S	644	-644	0	0.00000
Bacteroides zoogleoformans	28119	S	480	-480	0	0.00000
Bacteroides heparinolyticus	28113	S	238	-238	0	0.00000
Bacteroides helcogenes	290053	S	177	-177	0	0.00000
Bacteroides coprosuis	151276	S	63	-63	0	0.00000
Phocaeicola dorei	357276	S	112819	-112819	0	0.00000
Phocaeicola salanitronis	376805	S	3604	-3604	0	0.00000
Phocaeicola vulgatus	821	S	3563	-3563	0	0.00000
Parabacteroides distasonis	823	S	10968	-10968	0	0.00000
Parabacteroides sp. CT06	2025876	S	4647	-4647	0	0.00000
Tannerella forsythia	28112	S	16	-16	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	10	-10	0	0.00000
Odoribacter splanchnicus	28118	S	5641	-5641	0	0.00000
Butyricimonas faecalis	2093856	S	1752	-1752	0	0.00000
Alistipes onderdonkii	328813	S	914	-914	0	0.00000
Alistipes finegoldii	214856	S	722	-722	0	0.00000
Alistipes shahii	328814	S	328	-328	0	0.00000
Alistipes communis	2585118	S	232	-232	0	0.00000
Alistipes dispar	2585119	S	128	-128	0	0.00000
Alistipes indistinctus	626932	S	90	-90	0	0.00000
Alistipes sp. dk3624	2662363	S	60	-60	0	0.00000
Mucinivorans hirudinis	1433126	S	62	-62	0	0.00000
Barnesiella viscericola	397865	S	1982	-1982	0	0.00000
Prevotella intermedia	28131	S	126	-126	0	0.00000
Prevotella melaninogenica	28132	S	68	-68	0	0.00000
Prevotella oris	28135	S	58	-58	0	0.00000
Prevotella ruminicola	839	S	37	-37	0	0.00000
Prevotella scopos	589437	S	37	-37	0	0.00000
Prevotella enoeca	76123	S	16	-16	0	0.00000
Prevotella dentalis	52227	S	14	-14	0	0.00000
Prevotella denticola	28129	S	10	-10	0	0.00000
Paraprevotella xylaniphila	454155	S	319	-319	0	0.00000
Porphyromonas gingivalis	837	S	110	-110	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	41	-41	0	0.00000
Muribaculum intestinale	1796646	S	11	-11	0	0.00000
Duncaniella dubosii	2518971	S	31	-31	0	0.00000
Proteiniphilum saccharofermentans	1642647	S	21	-21	0	0.00000
Paludibacter propionicigenes	185300	S	29	-29	0	0.00000
Tenuifilum thalassicum	2590900	S	13	-13	0	0.00000
Salinivirga cyanobacteriivorans	1307839	S	27	-27	0	0.00000
Flavobacterium columnare	996	S	488	-488	0	0.00000
Flavobacterium sp. MDT1-60	1979344	S	94	-94	0	0.00000
Flavobacterium sp. LPB0248	2614441	S	26	-26	0	0.00000
Flavobacterium sp. I3-2	2748319	S	25	-25	0	0.00000
Flavobacterium sp. CJ74	2294119	S	19	-19	0	0.00000
Flavobacterium sp. KBS0721	1179672	S	13	-13	0	0.00000
Flavobacterium sp. Sr18	935222	S	10	-10	0	0.00000
Flavobacterium gilvum	1492737	S	49	-49	0	0.00000
Flavobacterium nitrogenifigens	1617283	S	41	-41	0	0.00000
Flavobacterium johnsoniae	986	S	41	-41	0	0.00000
Flavobacterium album	2175091	S	38	-38	0	0.00000
Flavobacterium crocinum	2183896	S	38	-38	0	0.00000
Flavobacterium faecale	1355330	S	24	-24	0	0.00000
Flavobacterium anhuiense	459526	S	11	-11	0	0.00000
Flavobacterium psychrophilum	96345	S	11	-11	0	0.00000
Flavobacterium branchiophilum	55197	S	10	-10	0	0.00000
Polaribacter sp. Hel1_33_78	1336804	S	30	-30	0	0.00000
Polaribacter sp. KT25b	1855336	S	22	-22	0	0.00000
Polaribacter sp. L3A8	2686361	S	13	-13	0	0.00000
Myroides phaeus	702745	S	81	-81	0	0.00000
Myroides odoratimimus	76832	S	23	-23	0	0.00000
Capnocytophaga cynodegmi	28189	S	26	-26	0	0.00000
Capnocytophaga stomatis	1848904	S	25	-25	0	0.00000
Tenacibaculum sp. SZ-18	754423	S	30	-30	0	0.00000
Tenacibaculum maritimum	107401	S	13	-13	0	0.00000
Muricauda sp. 501str8	2698672	S	63	-63	0	0.00000
Cellulophaga lytica	979	S	35	-35	0	0.00000
Formosa sediminum	2594004	S	20	-20	0	0.00000
Formosa sp. L2A11	2686363	S	13	-13	0	0.00000
Lacinutrix sp. 5H-3-7-4	983544	S	25	-25	0	0.00000
Lacinutrix venerupis	1486034	S	13	-13	0	0.00000
Winogradskyella schleiferi	2686078	S	11	-11	0	0.00000
Kordia antarctica	1218801	S	22	-22	0	0.00000
Gramella forsetii	411153	S	12	-12	0	0.00000
Aquimarina sp. AD1	1714848	S	10	-10	0	0.00000
