name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phocaeicola dorei	357276	S	6372385	-6372385	0	0.00000
Phocaeicola vulgatus	821	S	220601	-220601	0	0.00000
Phocaeicola salanitronis	376805	S	24473	-24473	0	0.00000
Bacteroides fragilis	817	S	2993747	-2993747	0	0.00000
Bacteroides uniformis	820	S	97884	-97884	0	0.00000
Bacteroides sp. HF-162	2785531	S	8925	-8925	0	0.00000
Bacteroides sp. CBA7301	2715212	S	8581	-8581	0	0.00000
Bacteroides sp. HF-5287	2650157	S	8266	-8266	0	0.00000
Bacteroides sp. A1C1	2528203	S	6067	-6067	0	0.00000
Bacteroides sp. CACC 737	2755405	S	5543	-5543	0	0.00000
Bacteroides sp. M10	2763022	S	2023	-2023	0	0.00000
Bacteroides sp. HF-5141	2650158	S	1181	-1181	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	265	-265	0	0.00000
Bacteroides ovatus	28116	S	38236	-38236	0	0.00000
Bacteroides caecimuris	1796613	S	13520	-13520	0	0.00000
Bacteroides thetaiotaomicron	818	S	9221	-9221	0	0.00000
Bacteroides xylanisolvens	371601	S	3696	-3696	0	0.00000
Bacteroides cellulosilyticus	246787	S	1922	-1922	0	0.00000
Bacteroides caccae	47678	S	1604	-1604	0	0.00000
Bacteroides zoogleoformans	28119	S	1181	-1181	0	0.00000
Bacteroides helcogenes	290053	S	1083	-1083	0	0.00000
Bacteroides heparinolyticus	28113	S	1048	-1048	0	0.00000
Bacteroides intestinalis	329854	S	639	-639	0	0.00000
Bacteroides coprosuis	151276	S	69	-69	0	0.00000
Parabacteroides distasonis	823	S	350955	-350955	0	0.00000
Parabacteroides sp. CT06	2025876	S	38244	-38244	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	85	-85	0	0.00000
Tannerella forsythia	28112	S	58	-58	0	0.00000
Alistipes finegoldii	214856	S	169840	-169840	0	0.00000
Alistipes communis	2585118	S	56489	-56489	0	0.00000
Alistipes onderdonkii	328813	S	19781	-19781	0	0.00000
Alistipes shahii	328814	S	18365	-18365	0	0.00000
Alistipes dispar	2585119	S	3208	-3208	0	0.00000
Alistipes megaguti	2364787	S	2515	-2515	0	0.00000
Alistipes indistinctus	626932	S	753	-753	0	0.00000
Alistipes sp. dk3624	2662363	S	297	-297	0	0.00000
Mucinivorans hirudinis	1433126	S	57	-57	0	0.00000
Odoribacter splanchnicus	28118	S	177469	-177469	0	0.00000
Butyricimonas faecalis	2093856	S	22617	-22617	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	3535	-3535	0	0.00000
Muribaculum intestinale	1796646	S	50	-50	0	0.00000
Duncaniella dubosii	2518971	S	145	-145	0	0.00000
Paraprevotella xylaniphila	454155	S	1962	-1962	0	0.00000
Prevotella intermedia	28131	S	367	-367	0	0.00000
Prevotella oris	28135	S	301	-301	0	0.00000
Prevotella scopos	589437	S	150	-150	0	0.00000
Prevotella dentalis	52227	S	91	-91	0	0.00000
Prevotella fusca	589436	S	90	-90	0	0.00000
Prevotella melaninogenica	28132	S	89	-89	0	0.00000
Prevotella enoeca	76123	S	89	-89	0	0.00000
Prevotella ruminicola	839	S	79	-79	0	0.00000
Prevotella denticola	28129	S	60	-60	0	0.00000
Prevotella sp. oral taxon 299	652716	S	50	-50	0	0.00000
Prevotella jejuni	1177574	S	31	-31	0	0.00000
Alloprevotella sp. E39	2133944	S	56	-56	0	0.00000
Barnesiella viscericola	397865	S	2433	-2433	0	0.00000
Porphyromonas gingivalis	837	S	333	-333	0	0.00000
Porphyromonas asaccharolytica	28123	S	216	-216	0	0.00000
Porphyromonas crevioricanis	393921	S	72	-72	0	0.00000
Porphyromonas cangingivalis	36874	S	39	-39	0	0.00000
Dysgonomonas sp. HDW5A	2714926	S	39	-39	0	0.00000
Dysgonomonas sp. HDW5B	2714927	S	24	-24	0	0.00000
Petrimonas mucosa	1642646	S	97	-97	0	0.00000
Proteiniphilum saccharofermentans	1642647	S	27	-27	0	0.00000
Paludibacter propionicigenes	185300	S	73	-73	0	0.00000
Tenuifilum thalassicum	2590900	S	24	-24	0	0.00000
Draconibacterium orientale	1168034	S	90	-90	0	0.00000
Draconibacterium sp. M1	2706887	S	19	-19	0	0.00000
Labilibaculum antarcticum	1717717	S	49	-49	0	0.00000
Alkalitalea saponilacus	889453	S	30	-30	0	0.00000
Salinivirga cyanobacteriivorans	1307839	S	17	-17	0	0.00000
Flavobacterium columnare	996	S	694	-694	0	0.00000
Flavobacterium sp. M31R6	2739062	S	67	-67	0	0.00000
Flavobacterium sp. KBS0721	1179672	S	29	-29	0	0.00000
Flavobacterium sp. HYN0086	2249356	S	24	-24	0	0.00000
Flavobacterium sp. MDT1-60	1979344	S	10	-10	0	0.00000
Flavobacterium sp. P2-65	2748320	S	10	-10	0	0.00000
Flavobacterium album	2175091	S	131	-131	0	0.00000
Flavobacterium commune	1306519	S	74	-74	0	0.00000
Flavobacterium kingsejongi	1678728	S	41	-41	0	0.00000
Flavobacterium anhuiense	459526	S	23	-23	0	0.00000
Flavobacterium crocinum	2183896	S	20	-20	0	0.00000
Flavobacterium gilvum	1492737	S	19	-19	0	0.00000
Flavobacterium nackdongense	2547394	S	18	-18	0	0.00000
Flavobacterium johnsoniae	986	S	17	-17	0	0.00000
Flavobacterium pallidum	2172098	S	14	-14	0	0.00000
Flavobacterium alkalisoli	2602769	S	13	-13	0	0.00000
Flavobacterium magnum	2162713	S	10	-10	0	0.00000
Polaribacter sp. L12M9	2738844	S	107	-107	0	0.00000
Polaribacter sp. Hel1_33_78	1336804	S	18	-18	0	0.00000
Polaribacter sp. MED152	313598	S	16	-16	0	0.00000
Polaribacter sp. SA4-12	1312072	S	16	-16	0	0.00000
Polaribacter sp. L3A8	2686361	S	13	-13	0	0.00000
Polaribacter sp. KT25b	1855336	S	12	-12	0	0.00000
Capnocytophaga stomatis	1848904	S	129	-129	0	0.00000
Capnocytophaga cynodegmi	28189	S	15	-15	0	0.00000
