name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	2253174	-2253174	0	0.00000
Staphylococcus cohnii	29382	S	227	-227	0	0.00000
Staphylococcus hominis	1290	S	120	-120	0	0.00000
Staphylococcus epidermidis	1282	S	95	-95	0	0.00000
Staphylococcus sp. 17KM0847	2583989	S	32	-32	0	0.00000
Staphylococcus sp. SDB 2975	2044912	S	28	-28	0	0.00000
Staphylococcus sp. MI 10-1553	1912064	S	22	-22	0	0.00000
Staphylococcus sciuri	1296	S	72	-72	0	0.00000
Staphylococcus saprophyticus	29385	S	63	-63	0	0.00000
Staphylococcus condimenti	70255	S	58	-58	0	0.00000
Staphylococcus xylosus	1288	S	57	-57	0	0.00000
Staphylococcus agnetis	985762	S	57	-57	0	0.00000
Staphylococcus muscae	1294	S	52	-52	0	0.00000
Staphylococcus chromogenes	46126	S	51	-51	0	0.00000
Staphylococcus stepanovicii	643214	S	49	-49	0	0.00000
Staphylococcus warneri	1292	S	42	-42	0	0.00000
Staphylococcus schleiferi	1295	S	41	-41	0	0.00000
Staphylococcus simulans	1286	S	40	-40	0	0.00000
Staphylococcus lentus	42858	S	39	-39	0	0.00000
Staphylococcus haemolyticus	1283	S	38	-38	0	0.00000
Staphylococcus capitis	29388	S	38	-38	0	0.00000
Staphylococcus simiae	308354	S	38	-38	0	0.00000
Staphylococcus equorum	246432	S	37	-37	0	0.00000
Staphylococcus lugdunensis	28035	S	36	-36	0	0.00000
Staphylococcus felis	46127	S	34	-34	0	0.00000
Staphylococcus nepalensis	214473	S	32	-32	0	0.00000
Staphylococcus pettenkoferi	170573	S	30	-30	0	0.00000
Staphylococcus succinus	61015	S	25	-25	0	0.00000
Staphylococcus vitulinus	71237	S	25	-25	0	0.00000
Staphylococcus carnosus	1281	S	23	-23	0	0.00000
Staphylococcus caprae	29380	S	22	-22	0	0.00000
Staphylococcus pseudintermedius	283734	S	20	-20	0	0.00000
Staphylococcus arlettae	29378	S	20	-20	0	0.00000
Staphylococcus auricularis	29379	S	18	-18	0	0.00000
Staphylococcus pasteuri	45972	S	17	-17	0	0.00000
Staphylococcus hyicus	1284	S	16	-16	0	0.00000
Staphylococcus fleurettii	150056	S	15	-15	0	0.00000
Staphylococcus delphini	53344	S	15	-15	0	0.00000
Staphylococcus piscifermentans	70258	S	14	-14	0	0.00000
Staphylococcus kloosii	29384	S	11	-11	0	0.00000
