name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides cellulosilyticus	246787	S	1042251	-1042251	0	0.00000
Bacteroides uniformis	820	S	344740	-344740	0	0.00000
Bacteroides sp. HF-162	2785531	S	40551	-40551	0	0.00000
Bacteroides sp. HF-5141	2650158	S	37897	-37897	0	0.00000
Bacteroides sp. A1C1	2528203	S	36341	-36341	0	0.00000
Bacteroides sp. CACC 737	2755405	S	21441	-21441	0	0.00000
Bacteroides sp. M10	2763022	S	12497	-12497	0	0.00000
Bacteroides sp. CBA7301	2715212	S	7221	-7221	0	0.00000
Bacteroides sp. HF-5287	2650157	S	5287	-5287	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	221	-221	0	0.00000
Bacteroides xylanisolvens	371601	S	228855	-228855	0	0.00000
Bacteroides fragilis	817	S	147472	-147472	0	0.00000
Bacteroides ovatus	28116	S	113413	-113413	0	0.00000
Bacteroides intestinalis	329854	S	50102	-50102	0	0.00000
Bacteroides caecimuris	1796613	S	28608	-28608	0	0.00000
Bacteroides thetaiotaomicron	818	S	18091	-18091	0	0.00000
Bacteroides helcogenes	290053	S	4027	-4027	0	0.00000
Bacteroides caccae	47678	S	3070	-3070	0	0.00000
Bacteroides heparinolyticus	28113	S	2690	-2690	0	0.00000
Bacteroides zoogleoformans	28119	S	1126	-1126	0	0.00000
Bacteroides coprosuis	151276	S	171	-171	0	0.00000
Phocaeicola vulgatus	821	S	912210	-912210	0	0.00000
Phocaeicola dorei	357276	S	138093	-138093	0	0.00000
Phocaeicola salanitronis	376805	S	3297	-3297	0	0.00000
Alistipes onderdonkii	328813	S	341468	-341468	0	0.00000
Alistipes finegoldii	214856	S	92677	-92677	0	0.00000
Alistipes shahii	328814	S	14643	-14643	0	0.00000
Alistipes communis	2585118	S	12389	-12389	0	0.00000
Alistipes megaguti	2364787	S	7194	-7194	0	0.00000
Alistipes dispar	2585119	S	5696	-5696	0	0.00000
Alistipes indistinctus	626932	S	1041	-1041	0	0.00000
Alistipes sp. dk3624	2662363	S	1027	-1027	0	0.00000
Mucinivorans hirudinis	1433126	S	131	-131	0	0.00000
Parabacteroides distasonis	823	S	88699	-88699	0	0.00000
Parabacteroides sp. CT06	2025876	S	3115	-3115	0	0.00000
Tannerella forsythia	28112	S	241	-241	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	188	-188	0	0.00000
Odoribacter splanchnicus	28118	S	72301	-72301	0	0.00000
Butyricimonas faecalis	2093856	S	2053	-2053	0	0.00000
Paraprevotella xylaniphila	454155	S	3523	-3523	0	0.00000
Prevotella intermedia	28131	S	375	-375	0	0.00000
Prevotella dentalis	52227	S	139	-139	0	0.00000
Prevotella melaninogenica	28132	S	115	-115	0	0.00000
Prevotella sp. oral taxon 299	652716	S	103	-103	0	0.00000
Prevotella ruminicola	839	S	96	-96	0	0.00000
Prevotella oris	28135	S	94	-94	0	0.00000
Prevotella denticola	28129	S	81	-81	0	0.00000
Prevotella enoeca	76123	S	61	-61	0	0.00000
Prevotella fusca	589436	S	59	-59	0	0.00000
Prevotella scopos	589437	S	33	-33	0	0.00000
Prevotella jejuni	1177574	S	31	-31	0	0.00000
Alloprevotella sp. E39	2133944	S	60	-60	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	649	-649	0	0.00000
Muribaculum intestinale	1796646	S	390	-390	0	0.00000
Duncaniella dubosii	2518971	S	677	-677	0	0.00000
Barnesiella viscericola	397865	S	1825	-1825	0	0.00000
Porphyromonas asaccharolytica	28123	S	302	-302	0	0.00000
Porphyromonas gingivalis	837	S	259	-259	0	0.00000
Porphyromonas cangingivalis	36874	S	79	-79	0	0.00000
Porphyromonas crevioricanis	393921	S	52	-52	0	0.00000
Petrimonas mucosa	1642646	S	272	-272	0	0.00000
Dysgonomonas sp. HDW5B	2714927	S	24	-24	0	0.00000
Dysgonomonas sp. HDW5A	2714926	S	22	-22	0	0.00000
Proteiniphilum saccharofermentans	1642647	S	114	-114	0	0.00000
Paludibacter propionicigenes	185300	S	79	-79	0	0.00000
Tenuifilum thalassicum	2590900	S	17	-17	0	0.00000
Draconibacterium orientale	1168034	S	35	-35	0	0.00000
Draconibacterium sp. M1	2706887	S	32	-32	0	0.00000
Alkalitalea saponilacus	889453	S	22	-22	0	0.00000
Labilibaculum antarcticum	1717717	S	22	-22	0	0.00000
Salinivirga cyanobacteriivorans	1307839	S	10	-10	0	0.00000
Flavobacterium sp. MDT1-60	1979344	S	38	-38	0	0.00000
Flavobacterium sp. LPB0248	2614441	S	23	-23	0	0.00000
Flavobacterium sp. KBS0721	1179672	S	18	-18	0	0.00000
