name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides fragilis	817	S	2516535	-2516535	0	0.00000
Bacteroides ovatus	28116	S	1105532	-1105532	0	0.00000
Bacteroides sp. M10	2763022	S	100071	-100071	0	0.00000
Bacteroides sp. CBA7301	2715212	S	72280	-72280	0	0.00000
Bacteroides sp. HF-5141	2650158	S	71824	-71824	0	0.00000
Bacteroides sp. A1C1	2528203	S	29633	-29633	0	0.00000
Bacteroides sp. CACC 737	2755405	S	28754	-28754	0	0.00000
Bacteroides sp. HF-162	2785531	S	27137	-27137	0	0.00000
Bacteroides sp. HF-5287	2650157	S	26334	-26334	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	271	-271	0	0.00000
Bacteroides uniformis	820	S	319081	-319081	0	0.00000
Bacteroides xylanisolvens	371601	S	111723	-111723	0	0.00000
Bacteroides thetaiotaomicron	818	S	28358	-28358	0	0.00000
Bacteroides caecimuris	1796613	S	27091	-27091	0	0.00000
Bacteroides caccae	47678	S	25420	-25420	0	0.00000
Bacteroides intestinalis	329854	S	5811	-5811	0	0.00000
Bacteroides helcogenes	290053	S	4864	-4864	0	0.00000
Bacteroides heparinolyticus	28113	S	3195	-3195	0	0.00000
Bacteroides cellulosilyticus	246787	S	2927	-2927	0	0.00000
Bacteroides zoogleoformans	28119	S	1346	-1346	0	0.00000
Bacteroides coprosuis	151276	S	236	-236	0	0.00000
Phocaeicola dorei	357276	S	4142152	-4142152	0	0.00000
Phocaeicola vulgatus	821	S	168820	-168820	0	0.00000
Phocaeicola salanitronis	376805	S	1551	-1551	0	0.00000
Parabacteroides distasonis	823	S	245189	-245189	0	0.00000
Parabacteroides sp. CT06	2025876	S	4660	-4660	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	110	-110	0	0.00000
Tannerella forsythia	28112	S	32	-32	0	0.00000
Alistipes communis	2585118	S	154642	-154642	0	0.00000
Alistipes indistinctus	626932	S	10525	-10525	0	0.00000
Alistipes dispar	2585119	S	5245	-5245	0	0.00000
Alistipes onderdonkii	328813	S	1474	-1474	0	0.00000
Alistipes finegoldii	214856	S	1275	-1275	0	0.00000
Alistipes shahii	328814	S	874	-874	0	0.00000
Alistipes sp. dk3624	2662363	S	279	-279	0	0.00000
Alistipes megaguti	2364787	S	168	-168	0	0.00000
Mucinivorans hirudinis	1433126	S	97	-97	0	0.00000
Odoribacter splanchnicus	28118	S	10284	-10284	0	0.00000
Butyricimonas faecalis	2093856	S	1698	-1698	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	2747	-2747	0	0.00000
Muribaculum intestinale	1796646	S	655	-655	0	0.00000
Duncaniella dubosii	2518971	S	2414	-2414	0	0.00000
Prevotella intermedia	28131	S	451	-451	0	0.00000
Prevotella oris	28135	S	353	-353	0	0.00000
Prevotella fusca	589436	S	142	-142	0	0.00000
Prevotella melaninogenica	28132	S	125	-125	0	0.00000
Prevotella sp. oral taxon 299	652716	S	100	-100	0	0.00000
Prevotella jejuni	1177574	S	99	-99	0	0.00000
Prevotella ruminicola	839	S	94	-94	0	0.00000
Prevotella dentalis	52227	S	75	-75	0	0.00000
Prevotella denticola	28129	S	56	-56	0	0.00000
Prevotella enoeca	76123	S	42	-42	0	0.00000
Prevotella scopos	589437	S	29	-29	0	0.00000
Paraprevotella xylaniphila	454155	S	605	-605	0	0.00000
Alloprevotella sp. E39	2133944	S	29	-29	0	0.00000
Barnesiella viscericola	397865	S	844	-844	0	0.00000
Porphyromonas gingivalis	837	S	136	-136	0	0.00000
Porphyromonas crevioricanis	393921	S	38	-38	0	0.00000
Porphyromonas asaccharolytica	28123	S	34	-34	0	0.00000
Porphyromonas cangingivalis	36874	S	23	-23	0	0.00000
Dysgonomonas sp. HDW5A	2714926	S	16	-16	0	0.00000
Petrimonas mucosa	1642646	S	58	-58	0	0.00000
Proteiniphilum saccharofermentans	1642647	S	40	-40	0	0.00000
Paludibacter propionicigenes	185300	S	67	-67	0	0.00000
Tenuifilum thalassicum	2590900	S	16	-16	0	0.00000
Draconibacterium orientale	1168034	S	33	-33	0	0.00000
Labilibaculum antarcticum	1717717	S	28	-28	0	0.00000
Alkalitalea saponilacus	889453	S	11	-11	0	0.00000
Flavobacterium columnare	996	S	931	-931	0	0.00000
Flavobacterium sp. CJ74	2294119	S	44	-44	0	0.00000
Flavobacterium sp. M31R6	2739062	S	31	-31	0	0.00000
Flavobacterium sp. KBS0721	1179672	S	24	-24	0	0.00000
Flavobacterium sp. Sr18	935222	S	17	-17	0	0.00000
Flavobacterium sp. I3-2	2748319	S	17	-17	0	0.00000
