name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bifidobacterium bifidum	1681	S	1211918	-1211918	0	0.00000
Bifidobacterium dentium	1689	S	45081	-45081	0	0.00000
Bifidobacterium breve	1685	S	14924	-14924	0	0.00000
Bifidobacterium longum	216816	S	13584	-13584	0	0.00000
Bifidobacterium catenulatum	1686	S	2990	-2990	0	0.00000
Bifidobacterium adolescentis	1680	S	1286	-1286	0	0.00000
Bifidobacterium pullorum	78448	S	645	-645	0	0.00000
Bifidobacterium angulatum	1683	S	323	-323	0	0.00000
Bifidobacterium pseudocatenulatum	28026	S	267	-267	0	0.00000
Bifidobacterium scardovii	158787	S	235	-235	0	0.00000
Bifidobacterium animalis	28025	S	138	-138	0	0.00000
Bifidobacterium eulemuris	1765219	S	128	-128	0	0.00000
Bifidobacterium pseudolongum	1694	S	84	-84	0	0.00000
Bifidobacterium choerinum	35760	S	69	-69	0	0.00000
Bifidobacterium thermophilum	33905	S	60	-60	0	0.00000
Bifidobacterium subtile	77635	S	55	-55	0	0.00000
Bifidobacterium lemurum	1603886	S	37	-37	0	0.00000
Bifidobacterium asteroides	1684	S	33	-33	0	0.00000
Bifidobacterium actinocoloniiforme	638619	S	24	-24	0	0.00000
Parascardovia denticolens	78258	S	374	-374	0	0.00000
Gardnerella vaginalis	2702	S	16	-16	0	0.00000
Actinomyces sp. ZJ34	2722820	S	4765	-4765	0	0.00000
Actinomyces sp. ZJ750	2744574	S	289	-289	0	0.00000
Actinomyces sp. oral taxon 414	712122	S	221	-221	0	0.00000
Actinomyces sp. oral taxon 897	2081702	S	132	-132	0	0.00000
Actinomyces sp. Z16	2079536	S	107	-107	0	0.00000
Actinomyces sp. dk561	2560010	S	93	-93	0	0.00000
Actinomyces sp. 432	2057798	S	83	-83	0	0.00000
Actinomyces sp. 2129	2321394	S	67	-67	0	0.00000
Actinomyces sp. oral taxon 171	706438	S	62	-62	0	0.00000
Actinomyces sp. 299	2057743	S	59	-59	0	0.00000
Actinomyces sp. Chiba101	1851395	S	49	-49	0	0.00000
Actinomyces sp. zg-325	2737173	S	43	-43	0	0.00000
Actinomyces sp. oral taxon 169	712116	S	22	-22	0	0.00000
Actinomyces radicidentis	111015	S	267	-267	0	0.00000
Actinomyces howellii	52771	S	146	-146	0	0.00000
Actinomyces slackii	52774	S	128	-128	0	0.00000
Actinomyces israelii	1659	S	88	-88	0	0.00000
Actinomyces viscosus	1656	S	82	-82	0	0.00000
Actinomyces pacaensis	1852377	S	73	-73	0	0.00000
Actinomyces qiguomingii	2057800	S	71	-71	0	0.00000
Actinomyces gaoshouyii	1960083	S	45	-45	0	0.00000
Actinomyces oris	544580	S	16	-16	0	0.00000
Actinomyces naeslundii	1655	S	12	-12	0	0.00000
Schaalia odontolytica	1660	S	737	-737	0	0.00000
Schaalia meyeri	52773	S	58	-58	0	0.00000
Schaalia cardiffensis	181487	S	55	-55	0	0.00000
Arcanobacterium haemolyticum	28264	S	22	-22	0	0.00000
Pauljensenia hongkongensis	178339	S	27	-27	0	0.00000
Trueperella pyogenes	1661	S	11	-11	0	0.00000
Mobiluncus curtisii	2051	S	12	-12	0	0.00000
Curtobacterium sp. Csp2	2495430	S	113	-113	0	0.00000
Microbacterium sp. 1S1	2606451	S	20	-20	0	0.00000
Aurantimicrobium sp. MWH-Mo1	1987356	S	12	-12	0	0.00000
Rothia dentocariosa	2047	S	24	-24	0	0.00000
Rothia mucilaginosa	43675	S	21	-21	0	0.00000
Kocuria sp. BT304	1702043	S	15	-15	0	0.00000
Glutamicibacter sp. ZJUTW	1155384	S	16	-16	0	0.00000
Dermabacter jinjuensis	1667168	S	187	-187	0	0.00000
Cellulosimicrobium sp. BI34T	2587808	S	10	-10	0	0.00000
Kytococcus sedentarius	1276	S	12	-12	0	0.00000
Haloactinobacterium sp. RN3S43	2779775	S	10	-10	0	0.00000
Corynebacterium atypicum	191610	S	216	-216	0	0.00000
Corynebacterium sp. NML98-0116	702967	S	32	-32	0	0.00000
Corynebacterium simulans	146827	S	37	-37	0	0.00000
Corynebacterium diphtheriae	1717	S	30	-30	0	0.00000
Corynebacterium vitaeruminis	38305	S	19	-19	0	0.00000
Corynebacterium riegelii	156976	S	18	-18	0	0.00000
Corynebacterium nuruki	1032851	S	18	-18	0	0.00000
Corynebacterium mustelae	571915	S	13	-13	0	0.00000
