name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phocaeicola vulgatus	821	S	744970	-744970	0	0.00000
Phocaeicola dorei	357276	S	99816	-99816	0	0.00000
Phocaeicola salanitronis	376805	S	1564	-1564	0	0.00000
Bacteroides thetaiotaomicron	818	S	644048	-644048	0	0.00000
Bacteroides sp. HF-5287	2650157	S	9085	-9085	0	0.00000
Bacteroides sp. HF-162	2785531	S	5840	-5840	0	0.00000
Bacteroides sp. CBA7301	2715212	S	3854	-3854	0	0.00000
Bacteroides sp. CACC 737	2755405	S	3495	-3495	0	0.00000
Bacteroides sp. A1C1	2528203	S	2476	-2476	0	0.00000
Bacteroides sp. HF-5141	2650158	S	1158	-1158	0	0.00000
Bacteroides sp. M10	2763022	S	645	-645	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	73	-73	0	0.00000
Bacteroides fragilis	817	S	24359	-24359	0	0.00000
Bacteroides caecimuris	1796613	S	7665	-7665	0	0.00000
Bacteroides xylanisolvens	371601	S	5785	-5785	0	0.00000
Bacteroides ovatus	28116	S	3626	-3626	0	0.00000
Bacteroides uniformis	820	S	3545	-3545	0	0.00000
Bacteroides cellulosilyticus	246787	S	712	-712	0	0.00000
Bacteroides caccae	47678	S	655	-655	0	0.00000
Bacteroides intestinalis	329854	S	502	-502	0	0.00000
Bacteroides zoogleoformans	28119	S	208	-208	0	0.00000
Bacteroides heparinolyticus	28113	S	143	-143	0	0.00000
Bacteroides helcogenes	290053	S	117	-117	0	0.00000
Bacteroides coprosuis	151276	S	27	-27	0	0.00000
Alistipes finegoldii	214856	S	10968	-10968	0	0.00000
Alistipes onderdonkii	328813	S	1280	-1280	0	0.00000
Alistipes shahii	328814	S	369	-369	0	0.00000
Alistipes megaguti	2364787	S	185	-185	0	0.00000
Alistipes indistinctus	626932	S	105	-105	0	0.00000
Alistipes sp. dk3624	2662363	S	69	-69	0	0.00000
Alistipes communis	2585118	S	53	-53	0	0.00000
Alistipes dispar	2585119	S	32	-32	0	0.00000
Mucinivorans hirudinis	1433126	S	17	-17	0	0.00000
Parabacteroides distasonis	823	S	10176	-10176	0	0.00000
Parabacteroides sp. CT06	2025876	S	72	-72	0	0.00000
Tannerella forsythia	28112	S	36	-36	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	10	-10	0	0.00000
Butyricimonas faecalis	2093856	S	3026	-3026	0	0.00000
Odoribacter splanchnicus	28118	S	719	-719	0	0.00000
Barnesiella viscericola	397865	S	1621	-1621	0	0.00000
Prevotella scopos	589437	S	147	-147	0	0.00000
Prevotella fusca	589436	S	106	-106	0	0.00000
Prevotella intermedia	28131	S	95	-95	0	0.00000
Prevotella dentalis	52227	S	64	-64	0	0.00000
Prevotella melaninogenica	28132	S	49	-49	0	0.00000
Prevotella oris	28135	S	36	-36	0	0.00000
Prevotella enoeca	76123	S	20	-20	0	0.00000
Prevotella sp. oral taxon 299	652716	S	19	-19	0	0.00000
Prevotella denticola	28129	S	12	-12	0	0.00000
Paraprevotella xylaniphila	454155	S	266	-266	0	0.00000
Alloprevotella sp. E39	2133944	S	24	-24	0	0.00000
Duncaniella dubosii	2518971	S	312	-312	0	0.00000
Muribaculum intestinale	1796646	S	49	-49	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	14	-14	0	0.00000
Porphyromonas cangingivalis	36874	S	130	-130	0	0.00000
Porphyromonas gingivalis	837	S	19	-19	0	0.00000
Petrimonas mucosa	1642646	S	30	-30	0	0.00000
Flavobacterium columnare	996	S	22	-22	0	0.00000
Flavobacterium anhuiense	459526	S	12	-12	0	0.00000
Flavobacterium kingsejongi	1678728	S	10	-10	0	0.00000
Capnocytophaga stomatis	1848904	S	13	-13	0	0.00000
Polaribacter sp. SA4-12	1312072	S	15	-15	0	0.00000
Cellulophaga baltica	76594	S	15	-15	0	0.00000
Chryseobacterium indologenes	253	S	32	-32	0	0.00000
Owenweeksia hongkongensis	253245	S	10	-10	0	0.00000
Spirosoma sp. KCTC 42546	2520506	S	16	-16	0	0.00000
Spirosoma sp. KUDC1026	2745947	S	12	-12	0	0.00000
Allopseudarcicella aquatilis	998844	S	17	-17	0	0.00000
Runella sp. HYN0085	2259595	S	10	-10	0	0.00000
Flammeovirga pectinis	2494373	S	19	-19	0	0.00000
Flammeovirga sp. MY04	1191459	S	18	-18	0	0.00000
Arachidicoccus ginsenosidivorans	496057	S	37	-37	0	0.00000
Arachidicoccus sp. B3-10	2545455	S	20	-20	0	0.00000
Chitinophaga sp. H33E-04	2703787	S	20	-20	0	0.00000
Flavisolibacter ginsenosidimutans	661481	S	12	-12	0	0.00000
Pedobacter sp. HDW13	2714940	S	10	-10	0	0.00000
Haliscomenobacter hydrossis	2350	S	13	-13	0	0.00000
Faecalibacterium prausnitzii	853	S	219449	-219449	0	0.00000
Flavonifractor plautii	292800	S	14201	-14201	0	0.00000
Ruthenibacterium lactatiformans	1550024	S	7421	-7421	0	0.00000
Acutalibacter muris	1796620	S	176	-176	0	0.00000
Ruminococcus bicirculans	1160721	S	39	-39	0	0.00000
Ethanoligenens harbinense	253239	S	19	-19	0	0.00000
Caproiciproducens sp. 7D4C2	2721621	S	13	-13	0	0.00000
Enterocloster clostridioformis	1531	S	7497	-7497	0	0.00000
Enterocloster bolteae	208479	S	1335	-1335	0	0.00000
Anaerostipes hadrus	649756	S	1866	-1866	0	0.00000
Anaerostipes caccae	105841	S	1433	-1433	0	0.00000
Anaerostipes rhamnosivorans	1229621	S	40	-40	0	0.00000
Roseburia intestinalis	166486	S	1320	-1320	0	0.00000
Roseburia hominis	301301	S	960	-960	0	0.00000
Blautia sp. SC05B48	2479767	S	1114	-1114	0	0.00000
Blautia sp. LZLJ-3	2779518	S	18	-18	0	0.00000
Blautia producta	33035	S	129	-129	0	0.00000
Blautia hansenii	1322	S	100	-100	0	0.00000
Blautia argi	1912897	S	66	-66	0	0.00000
[Ruminococcus] gnavus	33038	S	1490	-1490	0	0.00000
Anaerobutyricum hallii	39488	S	1173	-1173	0	0.00000
Lachnoclostridium sp. YL32	1834196	S	719	-719	0	0.00000
[Clostridium] scindens	29347	S	225	-225	0	0.00000
Lachnoclostridium phocaeense	1871021	S	157	-157	0	0.00000
[Clostridium] hylemonae	89153	S	10	-10	0	0.00000
Lacrimispora saccharolytica	84030	S	99	-99	0	0.00000
Lacrimispora sphenoides	29370	S	35	-35	0	0.00000
Lachnospira eligens	39485	S	125	-125	0	0.00000
Anaerocolumna cellulosilytica	433286	S	27	-27	0	0.00000
Clostridioides difficile	1496	S	8176	-8176	0	0.00000
Romboutsia sp. CE17	2724150	S	12	-12	0	0.00000
Intestinimonas butyriciproducens	1297617	S	942	-942	0	0.00000
Massilistercora timonensis	2086584	S	347	-347	0	0.00000
Flintibacter sp. KGMB00164	2610895	S	264	-264	0	0.00000
Mogibacterium pumilum	86332	S	124	-124	0	0.00000
Mogibacterium diversum	114527	S	12	-12	0	0.00000
Aminipila sp. JN-18	2507160	S	11	-11	0	0.00000
Monoglobus pectinilyticus	1981510	S	65	-65	0	0.00000
Oscillibacter sp. PEA192	2109687	S	558	-558	0	0.00000
Oscillibacter sp. NSJ-62	2763056	S	207	-207	0	0.00000
Oscillibacter valericigenes	351091	S	22	-22	0	0.00000
Dysosmobacter welbionis	2093857	S	618	-618	0	0.00000
