name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides fragilis	817	S	1219005	-1219005	0	0.00000
Bacteroides ovatus	28116	S	1089138	-1089138	0	0.00000
Bacteroides uniformis	820	S	541248	-541248	0	0.00000
Bacteroides sp. M10	2763022	S	144590	-144590	0	0.00000
Bacteroides sp. HF-5141	2650158	S	63562	-63562	0	0.00000
Bacteroides sp. A1C1	2528203	S	37126	-37126	0	0.00000
Bacteroides sp. HF-162	2785531	S	26153	-26153	0	0.00000
Bacteroides sp. CACC 737	2755405	S	23190	-23190	0	0.00000
Bacteroides sp. HF-5287	2650157	S	20685	-20685	0	0.00000
Bacteroides sp. CBA7301	2715212	S	7087	-7087	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	65	-65	0	0.00000
Bacteroides thetaiotaomicron	818	S	235208	-235208	0	0.00000
Bacteroides xylanisolvens	371601	S	73554	-73554	0	0.00000
Bacteroides caecimuris	1796613	S	17530	-17530	0	0.00000
Bacteroides intestinalis	329854	S	8967	-8967	0	0.00000
Bacteroides helcogenes	290053	S	4682	-4682	0	0.00000
Bacteroides caccae	47678	S	4109	-4109	0	0.00000
Bacteroides cellulosilyticus	246787	S	2199	-2199	0	0.00000
Bacteroides heparinolyticus	28113	S	1161	-1161	0	0.00000
Bacteroides zoogleoformans	28119	S	1005	-1005	0	0.00000
Bacteroides coprosuis	151276	S	124	-124	0	0.00000
Alistipes onderdonkii	328813	S	87516	-87516	0	0.00000
Alistipes finegoldii	214856	S	4404	-4404	0	0.00000
Alistipes shahii	328814	S	1077	-1077	0	0.00000
Alistipes communis	2585118	S	675	-675	0	0.00000
Alistipes dispar	2585119	S	407	-407	0	0.00000
Alistipes indistinctus	626932	S	190	-190	0	0.00000
Alistipes megaguti	2364787	S	46	-46	0	0.00000
Alistipes sp. dk3624	2662363	S	31	-31	0	0.00000
Phocaeicola dorei	357276	S	31248	-31248	0	0.00000
Phocaeicola salanitronis	376805	S	1477	-1477	0	0.00000
Phocaeicola vulgatus	821	S	1175	-1175	0	0.00000
Parabacteroides distasonis	823	S	15796	-15796	0	0.00000
Parabacteroides sp. CT06	2025876	S	325	-325	0	0.00000
Tannerella forsythia	28112	S	39	-39	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	10	-10	0	0.00000
Butyricimonas faecalis	2093856	S	1091	-1091	0	0.00000
Odoribacter splanchnicus	28118	S	745	-745	0	0.00000
Prevotella scopos	589437	S	195	-195	0	0.00000
Prevotella intermedia	28131	S	117	-117	0	0.00000
Prevotella melaninogenica	28132	S	64	-64	0	0.00000
Prevotella oris	28135	S	57	-57	0	0.00000
Prevotella fusca	589436	S	54	-54	0	0.00000
Prevotella dentalis	52227	S	36	-36	0	0.00000
Prevotella sp. oral taxon 299	652716	S	29	-29	0	0.00000
Prevotella denticola	28129	S	27	-27	0	0.00000
Prevotella ruminicola	839	S	23	-23	0	0.00000
Prevotella jejuni	1177574	S	17	-17	0	0.00000
Prevotella enoeca	76123	S	14	-14	0	0.00000
Paraprevotella xylaniphila	454155	S	123	-123	0	0.00000
Alloprevotella sp. E39	2133944	S	37	-37	0	0.00000
Barnesiella viscericola	397865	S	1304	-1304	0	0.00000
Duncaniella dubosii	2518971	S	228	-228	0	0.00000
Muribaculum intestinale	1796646	S	63	-63	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	57	-57	0	0.00000
Dysgonomonas sp. HDW5A	2714926	S	23	-23	0	0.00000
Dysgonomonas sp. HDW5B	2714927	S	22	-22	0	0.00000
Petrimonas mucosa	1642646	S	43	-43	0	0.00000
Proteiniphilum saccharofermentans	1642647	S	28	-28	0	0.00000
Porphyromonas gingivalis	837	S	58	-58	0	0.00000
Porphyromonas asaccharolytica	28123	S	18	-18	0	0.00000
Porphyromonas crevioricanis	393921	S	18	-18	0	0.00000
Porphyromonas cangingivalis	36874	S	14	-14	0	0.00000
Paludibacter propionicigenes	185300	S	28	-28	0	0.00000
Tenuifilum thalassicum	2590900	S	12	-12	0	0.00000
Draconibacterium orientale	1168034	S	35	-35	0	0.00000
Draconibacterium sp. M1	2706887	S	14	-14	0	0.00000
Labilibaculum antarcticum	1717717	S	15	-15	0	0.00000
Alkalitalea saponilacus	889453	S	10	-10	0	0.00000
