name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides fragilis	817	S	453559	-453559	0	0.00000
Bacteroides caccae	47678	S	111865	-111865	0	0.00000
Bacteroides uniformis	820	S	11381	-11381	0	0.00000
Bacteroides sp. HF-5287	2650157	S	3424	-3424	0	0.00000
Bacteroides sp. CBA7301	2715212	S	1776	-1776	0	0.00000
Bacteroides sp. CACC 737	2755405	S	1336	-1336	0	0.00000
Bacteroides sp. A1C1	2528203	S	1086	-1086	0	0.00000
Bacteroides sp. HF-162	2785531	S	1040	-1040	0	0.00000
Bacteroides sp. M10	2763022	S	375	-375	0	0.00000
Bacteroides sp. HF-5141	2650158	S	371	-371	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	119	-119	0	0.00000
Bacteroides ovatus	28116	S	10438	-10438	0	0.00000
Bacteroides caecimuris	1796613	S	3729	-3729	0	0.00000
Bacteroides thetaiotaomicron	818	S	2386	-2386	0	0.00000
Bacteroides xylanisolvens	371601	S	1190	-1190	0	0.00000
Bacteroides cellulosilyticus	246787	S	748	-748	0	0.00000
Bacteroides helcogenes	290053	S	292	-292	0	0.00000
Bacteroides zoogleoformans	28119	S	264	-264	0	0.00000
Bacteroides heparinolyticus	28113	S	151	-151	0	0.00000
Bacteroides intestinalis	329854	S	130	-130	0	0.00000
Bacteroides coprosuis	151276	S	32	-32	0	0.00000
Alistipes finegoldii	214856	S	515250	-515250	0	0.00000
Alistipes onderdonkii	328813	S	20191	-20191	0	0.00000
Alistipes shahii	328814	S	18468	-18468	0	0.00000
Alistipes communis	2585118	S	8410	-8410	0	0.00000
Alistipes dispar	2585119	S	1755	-1755	0	0.00000
Alistipes megaguti	2364787	S	1748	-1748	0	0.00000
Alistipes indistinctus	626932	S	1732	-1732	0	0.00000
Alistipes sp. dk3624	2662363	S	507	-507	0	0.00000
Mucinivorans hirudinis	1433126	S	93	-93	0	0.00000
Phocaeicola vulgatus	821	S	238007	-238007	0	0.00000
Phocaeicola dorei	357276	S	31184	-31184	0	0.00000
Phocaeicola salanitronis	376805	S	674	-674	0	0.00000
Odoribacter splanchnicus	28118	S	65486	-65486	0	0.00000
Butyricimonas faecalis	2093856	S	4370	-4370	0	0.00000
Parabacteroides distasonis	823	S	5239	-5239	0	0.00000
Parabacteroides sp. CT06	2025876	S	699	-699	0	0.00000
Tannerella forsythia	28112	S	118	-118	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	110	-110	0	0.00000
Prevotella intermedia	28131	S	737	-737	0	0.00000
Prevotella enoeca	76123	S	633	-633	0	0.00000
Prevotella melaninogenica	28132	S	427	-427	0	0.00000
Prevotella dentalis	52227	S	414	-414	0	0.00000
Prevotella denticola	28129	S	256	-256	0	0.00000
Prevotella oris	28135	S	219	-219	0	0.00000
Prevotella fusca	589436	S	102	-102	0	0.00000
Prevotella ruminicola	839	S	86	-86	0	0.00000
Prevotella jejuni	1177574	S	75	-75	0	0.00000
Prevotella scopos	589437	S	72	-72	0	0.00000
Prevotella sp. oral taxon 299	652716	S	52	-52	0	0.00000
Paraprevotella xylaniphila	454155	S	298	-298	0	0.00000
Alloprevotella sp. E39	2133944	S	53	-53	0	0.00000
Barnesiella viscericola	397865	S	2811	-2811	0	0.00000
Duncaniella dubosii	2518971	S	294	-294	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	133	-133	0	0.00000
Muribaculum intestinale	1796646	S	93	-93	0	0.00000
Porphyromonas gingivalis	837	S	221	-221	0	0.00000
