name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides uniformis	820	S	414792	-414792	0	0.00000
Bacteroides sp. HF-162	2785531	S	33967	-33967	0	0.00000
Bacteroides sp. CACC 737	2755405	S	31219	-31219	0	0.00000
Bacteroides sp. A1C1	2528203	S	30867	-30867	0	0.00000
Bacteroides sp. HF-5141	2650158	S	19755	-19755	0	0.00000
Bacteroides sp. M10	2763022	S	7413	-7413	0	0.00000
Bacteroides sp. CBA7301	2715212	S	4974	-4974	0	0.00000
Bacteroides sp. HF-5287	2650157	S	3151	-3151	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	569	-569	0	0.00000
Bacteroides xylanisolvens	371601	S	102055	-102055	0	0.00000
Bacteroides fragilis	817	S	94802	-94802	0	0.00000
Bacteroides thetaiotaomicron	818	S	82171	-82171	0	0.00000
Bacteroides ovatus	28116	S	80866	-80866	0	0.00000
Bacteroides caecimuris	1796613	S	14841	-14841	0	0.00000
Bacteroides intestinalis	329854	S	6170	-6170	0	0.00000
Bacteroides cellulosilyticus	246787	S	3613	-3613	0	0.00000
Bacteroides helcogenes	290053	S	3516	-3516	0	0.00000
Bacteroides caccae	47678	S	2191	-2191	0	0.00000
Bacteroides heparinolyticus	28113	S	2091	-2091	0	0.00000
Bacteroides zoogleoformans	28119	S	809	-809	0	0.00000
Bacteroides coprosuis	151276	S	82	-82	0	0.00000
Phocaeicola vulgatus	821	S	246212	-246212	0	0.00000
Phocaeicola dorei	357276	S	62585	-62585	0	0.00000
Phocaeicola salanitronis	376805	S	1376	-1376	0	0.00000
Parabacteroides distasonis	823	S	92427	-92427	0	0.00000
Parabacteroides sp. CT06	2025876	S	1123	-1123	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	418	-418	0	0.00000
Tannerella forsythia	28112	S	140	-140	0	0.00000
Alistipes onderdonkii	328813	S	98354	-98354	0	0.00000
Alistipes finegoldii	214856	S	5205	-5205	0	0.00000
Alistipes shahii	328814	S	1978	-1978	0	0.00000
Alistipes communis	2585118	S	1964	-1964	0	0.00000
Alistipes dispar	2585119	S	1309	-1309	0	0.00000
Alistipes megaguti	2364787	S	1187	-1187	0	0.00000
Alistipes sp. dk3624	2662363	S	522	-522	0	0.00000
Alistipes indistinctus	626932	S	458	-458	0	0.00000
Mucinivorans hirudinis	1433126	S	157	-157	0	0.00000
Odoribacter splanchnicus	28118	S	30124	-30124	0	0.00000
Butyricimonas faecalis	2093856	S	2443	-2443	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	3895	-3895	0	0.00000
Muribaculum intestinale	1796646	S	2754	-2754	0	0.00000
Duncaniella dubosii	2518971	S	1725	-1725	0	0.00000
Barnesiella viscericola	397865	S	5459	-5459	0	0.00000
Paraprevotella xylaniphila	454155	S	2394	-2394	0	0.00000
Prevotella dentalis	52227	S	480	-480	0	0.00000
Prevotella intermedia	28131	S	363	-363	0	0.00000
Prevotella denticola	28129	S	203	-203	0	0.00000
Prevotella ruminicola	839	S	131	-131	0	0.00000
Prevotella melaninogenica	28132	S	84	-84	0	0.00000
Prevotella enoeca	76123	S	80	-80	0	0.00000
Prevotella fusca	589436	S	67	-67	0	0.00000
Prevotella oris	28135	S	47	-47	0	0.00000
Prevotella scopos	589437	S	28	-28	0	0.00000
Prevotella jejuni	1177574	S	26	-26	0	0.00000
Prevotella sp. oral taxon 299	652716	S	19	-19	0	0.00000
Alloprevotella sp. E39	2133944	S	100	-100	0	0.00000
Proteiniphilum saccharofermentans	1642647	S	164	-164	0	0.00000
Petrimonas mucosa	1642646	S	135	-135	0	0.00000
Dysgonomonas sp. HDW5B	2714927	S	48	-48	0	0.00000
Dysgonomonas sp. HDW5A	2714926	S	29	-29	0	0.00000
Porphyromonas gingivalis	837	S	160	-160	0	0.00000
Porphyromonas asaccharolytica	28123	S	82	-82	0	0.00000
Porphyromonas cangingivalis	36874	S	66	-66	0	0.00000
Porphyromonas crevioricanis	393921	S	27	-27	0	0.00000
Paludibacter propionicigenes	185300	S	66	-66	0	0.00000
Tenuifilum thalassicum	2590900	S	14	-14	0	0.00000
Draconibacterium orientale	1168034	S	50	-50	0	0.00000
Alkalitalea saponilacus	889453	S	35	-35	0	0.00000
Salinivirga cyanobacteriivorans	1307839	S	14	-14	0	0.00000
Flavobacterium sp. CJ74	2294119	S	37	-37	0	0.00000
Flavobacterium sp. P2-65	2748320	S	28	-28	0	0.00000
Flavobacterium sp. M31R6	2739062	S	14	-14	0	0.00000
Flavobacterium gilvum	1492737	S	39	-39	0	0.00000
Flavobacterium magnum	2162713	S	35	-35	0	0.00000
Flavobacterium columnare	996	S	33	-33	0	0.00000
Flavobacterium nackdongense	2547394	S	19	-19	0	0.00000
Flavobacterium album	2175091	S	14	-14	0	0.00000
Flavobacterium anhuiense	459526	S	11	-11	0	0.00000
Flavobacterium kingsejongi	1678728	S	11	-11	0	0.00000
Flavobacterium crocinum	2183896	S	10	-10	0	0.00000
Capnocytophaga sp. oral taxon 878	1316596	S	24	-24	0	0.00000
Capnocytophaga sputigena	1019	S	12	-12	0	0.00000
Gramella echinicola	279359	S	31	-31	0	0.00000
Gramella flava	1486245	S	17	-17	0	0.00000
Gramella fulva	2126553	S	16	-16	0	0.00000
Gramella forsetii	411153	S	10	-10	0	0.00000
Nonlabens sp. MJ115	2496866	S	20	-20	0	0.00000
Nonlabens sp. Hel1_33_55	1336802	S	16	-16	0	0.00000
Nonlabens spongiae	331648	S	19	-19	0	0.00000
Tamlana sp. UJ94	2069432	S	60	-60	0	0.00000
Muricauda sp. 501str8	2698672	S	34	-34	0	0.00000
