name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bifidobacterium longum	216816	S	1820177	-1820177	0	0.00000
Bifidobacterium breve	1685	S	508245	-508245	0	0.00000
Bifidobacterium bifidum	1681	S	225873	-225873	0	0.00000
Bifidobacterium adolescentis	1680	S	5560	-5560	0	0.00000
Bifidobacterium catenulatum	1686	S	2667	-2667	0	0.00000
Bifidobacterium dentium	1689	S	1822	-1822	0	0.00000
Bifidobacterium pseudocatenulatum	28026	S	1156	-1156	0	0.00000
Bifidobacterium asteroides	1684	S	1065	-1065	0	0.00000
Bifidobacterium pullorum	78448	S	938	-938	0	0.00000
Bifidobacterium scardovii	158787	S	869	-869	0	0.00000
Bifidobacterium angulatum	1683	S	822	-822	0	0.00000
Bifidobacterium lemurum	1603886	S	754	-754	0	0.00000
Bifidobacterium animalis	28025	S	314	-314	0	0.00000
Bifidobacterium eulemuris	1765219	S	274	-274	0	0.00000
Bifidobacterium pseudolongum	1694	S	225	-225	0	0.00000
Bifidobacterium subtile	77635	S	176	-176	0	0.00000
Bifidobacterium thermophilum	33905	S	174	-174	0	0.00000
Bifidobacterium choerinum	35760	S	171	-171	0	0.00000
Bifidobacterium actinocoloniiforme	638619	S	98	-98	0	0.00000
Parascardovia denticolens	78258	S	22	-22	0	0.00000
Gardnerella vaginalis	2702	S	15	-15	0	0.00000
Streptomyces sp. ICC1	2099583	S	235291	-235291	0	0.00000
Streptomyces sp. ICC4	2099584	S	197	-197	0	0.00000
Streptomyces sp. P3	2135430	S	27	-27	0	0.00000
Streptomyces sp. Mg1	465541	S	13	-13	0	0.00000
Streptomyces venezuelae	54571	S	17	-17	0	0.00000
Streptomyces antimycoticus	68175	S	11	-11	0	0.00000
Mycobacterium sp. DL440	2675523	S	2158	-2158	0	0.00000
Mycobacterium chimaera	222805	S	15	-15	0	0.00000
Corynebacterium sp. 1959	2675216	S	10	-10	0	0.00000
Corynebacterium sp. 2039	2675219	S	10	-10	0	0.00000
Corynebacterium kroppenstedtii	161879	S	47	-47	0	0.00000
Corynebacterium jeikeium	38289	S	19	-19	0	0.00000
Corynebacterium segmentosum	43990	S	15	-15	0	0.00000
Corynebacterium vitaeruminis	38305	S	14	-14	0	0.00000
Corynebacterium mustelae	571915	S	13	-13	0	0.00000
Corynebacterium maris	575200	S	13	-13	0	0.00000
Corynebacterium striatum	43770	S	13	-13	0	0.00000
Corynebacterium efficiens	152794	S	11	-11	0	0.00000
Nocardia wallacei	480035	S	29	-29	0	0.00000
Nocardia terpenica	455432	S	10	-10	0	0.00000
Lawsonella clevelandensis	1528099	S	17	-17	0	0.00000
Curtobacterium sp. Csp2	2495430	S	1095	-1095	0	0.00000
Frigoribacterium sp. NBH87	2596916	S	69	-69	0	0.00000
Cryobacterium sp.	1926290	S	19	-19	0	0.00000
Candidatus Aquiluna sp. UB-MaderosW2red	1855377	S	15	-15	0	0.00000
Rothia mucilaginosa	43675	S	150	-150	0	0.00000
Arthrobacter sp. YN	2020486	S	10	-10	0	0.00000
Arthrobacter crystallopoietes	37928	S	10	-10	0	0.00000
Glutamicibacter creatinolyticus	162496	S	20	-20	0	0.00000
Neomicrococcus aestuarii	556325	S	10	-10	0	0.00000
Isoptericola dokdonensis	372663	S	16	-16	0	0.00000
Schaalia odontolytica	1660	S	1172	-1172	0	0.00000
Schaalia meyeri	52773	S	62	-62	0	0.00000
Schaalia cardiffensis	181487	S	20	-20	0	0.00000
Actinomyces pacaensis	1852377	S	376	-376	0	0.00000
Actinomyces sp. oral taxon 169	712116	S	17	-17	0	0.00000
Actinomyces sp. ZJ750	2744574	S	11	-11	0	0.00000
Pauljensenia hongkongensis	178339	S	36	-36	0	0.00000
Trueperella pyogenes	1661	S	14	-14	0	0.00000
Cutibacterium acnes	1747	S	40	-40	0	0.00000
Micromonospora sp. HM134	2583243	S	16	-16	0	0.00000
Micromonospora zamorensis	709883	S	12	-12	0	0.00000
Actinoplanes friuliensis	196914	S	10	-10	0	0.00000
Plantactinospora sp. BB1	2071627	S	18	-18	0	0.00000
Phytohabitans suffuscus	624315	S	13	-13	0	0.00000
Saccharothrix syringae	103733	S	11	-11	0	0.00000
Frankia sp. EAN1pec	298653	S	32	-32	0	0.00000
Jiangella alkaliphila	419479	S	12	-12	0	0.00000
Eggerthella lenta	84112	S	24090	-24090	0	0.00000
Eggerthella sp. HF-1101	2690837	S	682	-682	0	0.00000
Eggerthella sp. YY7918	502558	S	220	-220	0	0.00000
Gordonibacter pamelaeae	471189	S	1913	-1913	0	0.00000
Gordonibacter urolithinfaciens	1335613	S	109	-109	0	0.00000
Slackia heliotrinireducens	84110	S	746	-746	0	0.00000
Adlercreutzia equolifaciens	446660	S	142	-142	0	0.00000
Adlercreutzia sp. 8CFCBH1	2707299	S	119	-119	0	0.00000
Denitrobacterium detoxificans	79604	S	456	-456	0	0.00000
Arabia massiliensis	1870985	S	306	-306	0	0.00000
Phoenicibacter congonensis	1944646	S	206	-206	0	0.00000
Cryptobacterium curtum	84163	S	63	-63	0	0.00000
Collinsella aerofaciens	74426	S	1189	-1189	0	0.00000
Coriobacterium glomerans	33871	S	52	-52	0	0.00000
Olsenella sp. GAM18	2109685	S	131	-131	0	0.00000
Olsenella sp. oral taxon 807	712411	S	51	-51	0	0.00000
Olsenella sp. LZLJ-2	2779519	S	24	-24	0	0.00000
Olsenella umbonata	604330	S	109	-109	0	0.00000
Olsenella timonensis	1805478	S	89	-89	0	0.00000
Olsenella uli	133926	S	41	-41	0	0.00000
Libanicoccus massiliensis	1871022	S	149	-149	0	0.00000
Parolsenella catena	2003188	S	112	-112	0	0.00000
Lancefieldella parvula	1382	S	49	-49	0	0.00000
Lacticaseibacillus paracasei	1597	S	1094417	-1094417	0	0.00000
Lactobacillus rhamnosus	47715	S	12923	-12923	0	0.00000
Lactobacillus casei	1582	S	3516	-3516	0	0.00000
Lactobacillus manihotivorans	88233	S	1187	-1187	0	0.00000
Lactobacillus acidophilus	1579	S	34313	-34313	0	0.00000
Lactobacillus paragasseri	2107999	S	25400	-25400	0	0.00000
Lactobacillus gasseri	1596	S	3936	-3936	0	0.00000
Lactobacillus amylovorus	1604	S	1837	-1837	0	0.00000
Lactobacillus johnsonii	33959	S	1467	-1467	0	0.00000
Lactobacillus helveticus	1587	S	531	-531	0	0.00000
Lactobacillus crispatus	47770	S	347	-347	0	0.00000
Lactobacillus sp. JM1	2690380	S	49	-49	0	0.00000
Lactobacillus sp. NFFJ11	2714036	S	33	-33	0	0.00000
Lactobacillus sp. CBA3606	2099789	S	24	-24	0	0.00000
Lactobacillus sp. 3B(2020)	2695882	S	19	-19	0	0.00000
Lactobacillus zeae	57037	S	143	-143	0	0.00000
Lactobacillus acetotolerans	1600	S	111	-111	0	0.00000
Lactobacillus gallinarum	52242	S	110	-110	0	0.00000
Lactobacillus amylolyticus	83683	S	104	-104	0	0.00000
Lactobacillus kefiranofaciens	267818	S	100	-100	0	0.00000
Lactobacillus delbrueckii	1584	S	77	-77	0	0.00000
Lactobacillus jensenii	109790	S	62	-62	0	0.00000
Lactobacillus iners	147802	S	53	-53	0	0.00000
Lactobacillus apis	303541	S	25	-25	0	0.00000
Lactobacillus dextrinicus	51664	S	11	-11	0	0.00000
Ligilactobacillus ruminis	1623	S	35385	-35385	0	0.00000
Ligilactobacillus salivarius	1624	S	290	-290	0	0.00000
Lactobacillus acidipiscis	89059	S	53	-53	0	0.00000
Ligilactobacillus agilis	1601	S	29	-29	0	0.00000
Lactobacillus murinus	1622	S	15	-15	0	0.00000
Lactobacillus saerimneri	228229	S	10	-10	0	0.00000
Lactiplantibacillus plantarum	1590	S	1500	-1500	0	0.00000
Lactobacillus pentosus	1589	S	29	-29	0	0.00000
Lactobacillus paraplantarum	60520	S	29	-29	0	0.00000
Lactobacillus harbinensis	304207	S	1071	-1071	0	0.00000
Limosilactobacillus fermentum	1613	S	690	-690	0	0.00000
Limosilactobacillus reuteri	1598	S	85	-85	0	0.00000
Lactobacillus mucosae	97478	S	45	-45	0	0.00000
Lactobacillus gastricus	227942	S	28	-28	0	0.00000
Lactobacillus pontis	35787	S	10	-10	0	0.00000
Pediococcus acidilactici	1254	S	222	-222	0	0.00000
Pediococcus claussenii	187452	S	88	-88	0	0.00000
Pediococcus pentosaceus	1255	S	83	-83	0	0.00000
Pediococcus damnosus	51663	S	35	-35	0	0.00000
Lactobacillus brevis	1580	S	218	-218	0	0.00000
Lactobacillus suantsaii	2292255	S	32	-32	0	0.00000
Lactobacillus sakei	1599	S	135	-135	0	0.00000
Lactobacillus curvatus	28038	S	39	-39	0	0.00000
Liquorilactobacillus nagelii	82688	S	12	-12	0	0.00000
Lactobacillus backii	375175	S	45	-45	0	0.00000
Lactobacillus coryniformis	1610	S	35	-35	0	0.00000
Lactobacillus parabuchneri	152331	S	34	-34	0	0.00000
Lactobacillus buchneri	1581	S	24	-24	0	0.00000
Lactobacillus hilgardii	1588	S	24	-24	0	0.00000
Lactobacillus nenjiangensis	1296540	S	48	-48	0	0.00000
Lactobacillus hokkaidonensis	1193095	S	41	-41	0	0.00000
Lactobacillus paracollinoides	240427	S	31	-31	0	0.00000
Lactobacillus malefermentans	176292	S	12	-12	0	0.00000
Lactobacillus paralimentarius	83526	S	14	-14	0	0.00000
Lactobacillus sanfranciscensis	1625	S	11	-11	0	0.00000
Lactobacillus rossiae	231049	S	18	-18	0	0.00000
Enterococcus faecalis	1351	S	248277	-248277	0	0.00000
