name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alistipes shahii	328814	S	329776	-329776	0	0.00000
Alistipes onderdonkii	328813	S	90823	-90823	0	0.00000
Alistipes communis	2585118	S	63746	-63746	0	0.00000
Alistipes megaguti	2364787	S	51073	-51073	0	0.00000
Alistipes finegoldii	214856	S	31066	-31066	0	0.00000
Alistipes indistinctus	626932	S	17595	-17595	0	0.00000
Alistipes dispar	2585119	S	16499	-16499	0	0.00000
Alistipes sp. dk3624	2662363	S	5022	-5022	0	0.00000
Mucinivorans hirudinis	1433126	S	704	-704	0	0.00000
Bacteroides caccae	47678	S	89055	-89055	0	0.00000
Bacteroides sp. HF-5287	2650157	S	10949	-10949	0	0.00000
Bacteroides sp. HF-5141	2650158	S	8124	-8124	0	0.00000
Bacteroides sp. CACC 737	2755405	S	7633	-7633	0	0.00000
Bacteroides sp. HF-162	2785531	S	7521	-7521	0	0.00000
Bacteroides sp. CBA7301	2715212	S	7111	-7111	0	0.00000
Bacteroides sp. A1C1	2528203	S	6327	-6327	0	0.00000
Bacteroides sp. M10	2763022	S	3758	-3758	0	0.00000
Bacteroides sp. PHL 2737	2162637	S	471	-471	0	0.00000
Bacteroides uniformis	820	S	70125	-70125	0	0.00000
Bacteroides xylanisolvens	371601	S	64318	-64318	0	0.00000
Bacteroides fragilis	817	S	58274	-58274	0	0.00000
Bacteroides thetaiotaomicron	818	S	52831	-52831	0	0.00000
Bacteroides ovatus	28116	S	27704	-27704	0	0.00000
Bacteroides caecimuris	1796613	S	9649	-9649	0	0.00000
Bacteroides cellulosilyticus	246787	S	6214	-6214	0	0.00000
Bacteroides helcogenes	290053	S	3908	-3908	0	0.00000
Bacteroides intestinalis	329854	S	3847	-3847	0	0.00000
Bacteroides heparinolyticus	28113	S	3347	-3347	0	0.00000
Bacteroides zoogleoformans	28119	S	3122	-3122	0	0.00000
Bacteroides coprosuis	151276	S	1506	-1506	0	0.00000
Phocaeicola dorei	357276	S	276516	-276516	0	0.00000
Phocaeicola vulgatus	821	S	148271	-148271	0	0.00000
Phocaeicola salanitronis	376805	S	14684	-14684	0	0.00000
Odoribacter splanchnicus	28118	S	161511	-161511	0	0.00000
Butyricimonas faecalis	2093856	S	60603	-60603	0	0.00000
Prevotella ruminicola	839	S	19678	-19678	0	0.00000
Prevotella melaninogenica	28132	S	15749	-15749	0	0.00000
Prevotella intermedia	28131	S	14828	-14828	0	0.00000
Prevotella oris	28135	S	13359	-13359	0	0.00000
Prevotella dentalis	52227	S	9942	-9942	0	0.00000
Prevotella denticola	28129	S	9450	-9450	0	0.00000
Prevotella fusca	589436	S	8267	-8267	0	0.00000
Prevotella jejuni	1177574	S	6348	-6348	0	0.00000
Prevotella scopos	589437	S	5844	-5844	0	0.00000
Prevotella enoeca	76123	S	4190	-4190	0	0.00000
Prevotella sp. oral taxon 299	652716	S	3852	-3852	0	0.00000
Paraprevotella xylaniphila	454155	S	9199	-9199	0	0.00000
Alloprevotella sp. E39	2133944	S	2028	-2028	0	0.00000
Parabacteroides distasonis	823	S	37877	-37877	0	0.00000
Parabacteroides sp. CT06	2025876	S	2790	-2790	0	0.00000
Tannerella sp. oral taxon HOT-286	712710	S	1647	-1647	0	0.00000
Tannerella forsythia	28112	S	1511	-1511	0	0.00000
Barnesiella viscericola	397865	S	12095	-12095	0	0.00000
Duncaniella dubosii	2518971	S	1701	-1701	0	0.00000
Muribaculum sp. TLL-A4	2530390	S	2537	-2537	0	0.00000
Muribaculum intestinale	1796646	S	1330	-1330	0	0.00000
Porphyromonas gingivalis	837	S	1360	-1360	0	0.00000
Porphyromonas cangingivalis	36874	S	1040	-1040	0	0.00000
Porphyromonas asaccharolytica	28123	S	613	-613	0	0.00000
Porphyromonas crevioricanis	393921	S	448	-448	0	0.00000
Dysgonomonas sp. HDW5B	2714927	S	178	-178	0	0.00000
Dysgonomonas sp. HDW5A	2714926	S	156	-156	0	0.00000
Petrimonas mucosa	1642646	S	1141	-1141	0	0.00000
Proteiniphilum saccharofermentans	1642647	S	904	-904	0	0.00000
Paludibacter propionicigenes	185300	S	647	-647	0	0.00000
Tenuifilum thalassicum	2590900	S	172	-172	0	0.00000
Draconibacterium orientale	1168034	S	233	-233	0	0.00000
Draconibacterium sp. M1	2706887	S	155	-155	0	0.00000
Alkalitalea saponilacus	889453	S	382	-382	0	0.00000
Labilibaculum antarcticum	1717717	S	187	-187	0	0.00000
Salinivirga cyanobacteriivorans	1307839	S	111	-111	0	0.00000
Flavobacterium columnare	996	S	1623	-1623	0	0.00000
Flavobacterium sp. CJ74	2294119	S	129	-129	0	0.00000
Flavobacterium sp. P2-65	2748320	S	123	-123	0	0.00000
Flavobacterium sp. MDT1-60	1979344	S	90	-90	0	0.00000
Flavobacterium sp. KBS0721	1179672	S	78	-78	0	0.00000
Flavobacterium sp. 140616W15	2478552	S	69	-69	0	0.00000
Flavobacterium sp. M31R6	2739062	S	58	-58	0	0.00000
Flavobacterium sp. HYN0086	2249356	S	54	-54	0	0.00000
Flavobacterium sp. I3-2	2748319	S	43	-43	0	0.00000
Flavobacterium sp. xlx-214	2654325	S	40	-40	0	0.00000
Flavobacterium sp. Sr18	935222	S	38	-38	0	0.00000
Flavobacterium sp. LPB0248	2614441	S	30	-30	0	0.00000
Flavobacterium album	2175091	S	288	-288	0	0.00000
Flavobacterium magnum	2162713	S	142	-142	0	0.00000
Flavobacterium sediminis	2201181	S	108	-108	0	0.00000
Flavobacterium johnsoniae	986	S	99	-99	0	0.00000
Flavobacterium nackdongense	2547394	S	92	-92	0	0.00000
Flavobacterium kingsejongi	1678728	S	92	-92	0	0.00000
Flavobacterium crocinum	2183896	S	70	-70	0	0.00000
Flavobacterium alkalisoli	2602769	S	69	-69	0	0.00000
Flavobacterium gilvum	1492737	S	63	-63	0	0.00000
Flavobacterium crassostreae	1763534	S	60	-60	0	0.00000
Flavobacterium pallidum	2172098	S	54	-54	0	0.00000
Flavobacterium arcticum	1784713	S	53	-53	0	0.00000
Flavobacterium commune	1306519	S	53	-53	0	0.00000
Flavobacterium haoranii	683124	S	52	-52	0	0.00000
Flavobacterium anhuiense	459526	S	52	-52	0	0.00000
Flavobacterium branchiophilum	55197	S	45	-45	0	0.00000
Flavobacterium faecale	1355330	S	43	-43	0	0.00000
Flavobacterium nitrogenifigens	1617283	S	33	-33	0	0.00000
Flavobacterium indicum	312277	S	29	-29	0	0.00000
Flavobacterium psychrophilum	96345	S	24	-24	0	0.00000
Flavobacterium sangjuense	2518177	S	20	-20	0	0.00000
Capnocytophaga sp. FDAARGOS_737	2545799	S	102	-102	0	0.00000
Capnocytophaga sp. oral taxon 878	1316596	S	99	-99	0	0.00000
Capnocytophaga sp. oral taxon 864	1316593	S	42	-42	0	0.00000
Capnocytophaga sp. oral taxon 323	1705617	S	40	-40	0	0.00000
Capnocytophaga sp. oral taxon 902	2748316	S	15	-15	0	0.00000
Capnocytophaga sp. H2931	1945657	S	13	-13	0	0.00000
Capnocytophaga canimorsus	28188	S	206	-206	0	0.00000
Capnocytophaga stomatis	1848904	S	183	-183	0	0.00000
Capnocytophaga cynodegmi	28189	S	170	-170	0	0.00000
Capnocytophaga haemolytica	45243	S	154	-154	0	0.00000
Capnocytophaga sputigena	1019	S	141	-141	0	0.00000
Capnocytophaga gingivalis	1017	S	133	-133	0	0.00000
Capnocytophaga endodontalis	2708117	S	38	-38	0	0.00000
Capnocytophaga leadbetteri	327575	S	17	-17	0	0.00000
Gramella flava	1486245	S	214	-214	0	0.00000
Gramella forsetii	411153	S	158	-158	0	0.00000
Gramella salexigens	1913577	S	95	-95	0	0.00000
Gramella fulva	2126553	S	65	-65	0	0.00000
Gramella echinicola	279359	S	52	-52	0	0.00000
Gramella sp. MAR_2010_147	1250205	S	32	-32	0	0.00000
Nonlabens sp. Hel1_33_55	1336802	S	100	-100	0	0.00000
